Time [s],SCLK,SDI,GPIO2,GPIO3
2.076109200,1,1,0,1
2.076110200,0,0,0,1
2.076123680,1,1,0,1
2.076124660,0,0,0,1
2.076125660,1,1,0,1
2.076126660,0,0,0,1
2.076127660,1,1,0,1
2.076128660,0,0,0,1
2.076129660,1,1,0,1
2.076130660,0,0,0,1
2.076131660,1,1,0,1
2.076132660,0,0,0,1
2.076133660,1,1,0,1
2.076134640,1,0,0,1
2.076134660,0,0,0,1
2.076135640,1,1,0,1
2.076136640,0,0,0,1
2.076137640,1,1,0,1
2.076138640,0,0,0,1
2.076152120,1,1,0,1
2.076153120,0,0,0,1
2.076154120,1,1,0,1
2.076155120,0,0,0,1
2.076156120,1,1,0,1
2.076157100,0,0,0,1
2.076158100,1,1,0,1
2.076159100,0,0,0,1
2.076160100,1,1,0,1
2.076161100,0,0,0,1
2.076162100,1,1,0,1
2.076163100,0,0,0,1
2.076164100,1,1,0,1
2.076165100,0,0,0,1
2.076166100,1,1,0,1
2.076167100,0,0,0,1
2.076180560,0,1,0,1
2.076180580,1,1,0,1
2.076181560,0,0,0,1
2.076182560,1,1,0,1
2.076183560,0,0,0,1
2.076184560,1,1,0,1
2.076185560,0,0,0,1
2.076186560,1,1,0,1
2.076187560,0,0,0,1
2.076188560,1,1,0,1
2.076189560,0,0,0,1
2.076190560,1,1,0,1
2.076191540,0,0,0,1
2.076192540,1,1,0,1
2.076193540,0,0,0,1
2.076194540,1,1,0,1
2.076195540,0,0,0,1
2.076209020,1,1,0,1
2.076210020,0,0,0,1
2.076211020,1,1,0,1
2.076212000,0,0,0,1
2.076213000,1,1,0,1
2.076214000,0,0,0,1
2.076215000,1,1,0,1
2.076216000,0,0,0,1
2.076217000,1,1,0,1
2.076218000,0,0,0,1
2.076219000,1,1,0,1
2.076220000,0,0,0,1
2.076221000,1,1,0,1
2.076222000,0,0,0,1
2.076223000,1,1,0,1
2.076223980,0,0,0,1
2.076237460,1,1,0,1
2.076238460,0,0,0,1
2.076239460,1,1,0,1
2.076240460,0,0,0,1
2.076241460,1,1,0,1
2.076242460,0,0,0,1
2.076243440,1,1,0,1
2.076244440,0,0,0,1
2.076245440,1,1,0,1
2.076246440,0,0,0,1
2.076247440,1,1,0,1
2.076248440,0,0,0,1
2.076249440,1,1,0,1
2.076250440,0,0,0,1
2.076251440,1,1,0,1
2.076252440,0,0,0,1
2.076287360,1,1,0,1
2.076288360,0,0,0,1
2.076289360,1,1,0,1
2.076290360,0,0,0,1
2.076291360,1,1,0,1
2.076292360,0,0,0,1
2.076293360,1,1,0,1
2.076294360,0,0,0,1
2.076295360,1,1,0,1
2.076296340,0,0,0,1
2.076297340,1,1,0,1
2.076298340,0,0,0,1
2.076299340,1,1,0,1
2.076300340,0,0,0,1
2.076301340,1,1,0,1
2.076302340,0,0,0,1
2.076315820,1,1,0,1
2.076316800,0,0,0,1
2.076317800,1,1,0,1
2.076318800,0,0,0,1
2.076319800,1,1,0,1
2.076320800,0,0,0,1
2.076321800,1,1,0,1
2.076322800,0,0,0,1
2.076323800,1,1,0,1
2.076324800,0,0,0,1
2.076325800,1,1,0,1
2.076326780,0,0,0,1
2.076327780,1,1,0,1
2.076328780,0,0,0,1
2.076329780,1,1,0,1
2.076330780,0,0,0,1
2.076355740,1,1,0,1
2.076356740,0,0,0,1
2.076357740,1,1,0,1
2.076358720,0,0,0,1
2.076359720,1,1,0,1
2.076360720,0,0,0,1
2.076361720,1,1,0,1
2.076362720,0,0,0,1
2.076363720,1,1,0,1
2.076364720,0,0,0,1
2.076365720,1,1,0,1
2.076366720,0,0,0,1
2.076367720,1,1,0,1
2.076368700,0,0,0,1
2.076369700,1,1,0,1
2.076370700,0,0,0,1
2.076382680,1,1,0,1
2.076383680,0,0,0,1
2.076384680,1,1,0,1
