Time [s],SCLK,SDO,SDI,nSEL
0.339892260,1,1,0,0
0.339893260,0,1,0,0
0.339894260,1,1,0,0
0.339895260,0,1,0,0
0.339895280,0,0,0,0
0.339905500,0,0,1,0
0.339907260,1,0,1,0
0.339908260,0,0,1,0
0.339909260,1,0,1,0
0.339910260,0,0,1,0
0.339911260,1,0,1,0
0.339912260,0,0,1,0
0.339913260,1,0,1,0
0.339914260,0,0,1,0
0.339915260,1,0,1,0
0.339916240,0,0,1,0
0.339917240,1,0,1,0
0.339918240,0,0,1,0
0.339919240,1,0,1,0
0.339920240,0,0,1,0
0.339921240,1,0,1,0
0.339922240,0,0,1,0
0.339930240,0,0,1,1
0.339930920,0,1,1,1
0.339931480,0,1,1,0
0.339935740,0,1,0,0
0.339937480,1,1,0,0
0.339938480,0,1,1,0
0.339939480,1,1,1,0
0.339940480,0,1,0,0
0.339941480,1,1,0,0
0.339942480,0,1,0,0
0.339943480,1,1,0,0
0.339944480,0,1,0,0
0.339945480,1,1,0,0
0.339946480,0,1,1,0
0.339947480,1,1,1,0
0.339948480,0,1,0,0
0.339949480,1,1,0,0
0.339950480,0,1,0,0
0.339951480,1,1,0,0
0.339952460,0,1,0,0
0.339952480,0,0,0,0
0.339962720,0,0,1,0
0.339964460,1,0,1,0
0.339965460,0,0,1,0
0.339966460,1,0,1,0
0.339967460,0,0,1,0
0.339968460,1,0,1,0
0.339969460,0,0,1,0
0.339970460,1,0,1,0
0.339971460,0,0,1,0
0.339972460,1,0,1,0
0.339973460,0,0,1,0
0.339974460,1,0,1,0
0.339975460,0,0,1,0
0.339976460,1,0,1,0
0.339977460,0,0,1,0
0.339978460,1,0,1,0
0.339979460,0,0,1,0
0.339987440,0,0,1,1
0.339988140,0,1,1,1
0.339988700,0,1,1,0
0.339992940,0,1,0,0
0.339994700,1,1,0,0
0.339995680,0,1,0,0
0.339995700,0,1,1,0
0.339996700,1,1,1,0
0.339997680,0,1,0,0
0.339998680,1,1,0,0
0.339999680,0,1,0,0
0.340000680,1,1,0,0
0.340001680,0,1,0,0
0.340002680,1,1,0,0
0.340003680,0,1,1,0
0.340004680,1,1,1,0
0.340005680,0,1,0,0
0.340006680,1,1,0,0
0.340007680,0,1,0,0
0.340008680,1,1,0,0
0.340009680,0,1,0,0
0.340009700,0,0,0,0
0.340019920,0,0,1,0
0.340021680,1,0,1,0
0.340022680,0,0,1,0
0.340023680,1,0,1,0
0.340024680,0,0,1,0
0.340025680,1,0,1,0
0.340026680,0,0,1,0
0.340027680,1,0,1,0
0.340028660,0,0,1,0
0.340029680,1,0,1,0
0.340030660,0,0,1,0
0.340031660,1,0,1,0
0.340032660,0,0,1,0
0.340033660,1,0,1,0
0.340034660,0,0,1,0
0.340035660,1,0,1,0
0.340036660,0,0,1,0
0.340044660,0,0,1,1
0.340045340,0,1,1,1
0.340045900,0,1,1,0
0.340050160,0,1,0,0
0.340051900,1,1,0,0
